−55,471,485,500,±3.02
−50,495,510,524,±2.92
−40,547,562,576,±2.74
−30,603,617,632,±2.55
−20,662,677,691,±2.35
−10,726,740,754,±2.14
0,794,807,820,±1.91
10,865,877,889,±1.67
20,941,951,962,±1.41
25,980,990,1000,±1.27
30,1018,1029,1041,±1.39
40,1097,1111,1125,±1.64
50,1180,1196,1213,±1.91
60,1266,1286,1305,±2.19
70,1355,1378,1402,±2.49
80,1447,1475,1502,±2.8
90,1543,1575,1607,±3.12
100,1642,1679,1716,±3.46
110,1745,1786,1828,±3.83
120,1849,1896,1943,±4.33
125,1900,1950,2000,±4.66
130,1950,2003,2056,±5.07
140,2044,2103,2162,±6.28
150,2124,2189,2254,±8.55
